ImageID,Labels,Caption
30.jpg,18,A white dog holding a purple frisbee in it's mouth. a dog with a frisbee in its mouth
31.jpg,9,a couple of boats that are in some water a small boat is docked in the water
32.jpg,1 3,Two people playing tennis in a neighborhood park. two people playing tennis on a tennis court
33.jpg,1,A tennis player in action on the court. a male tennis player in action on the court
34.jpg,1,A person licks his thumb while holding a piece of food. a man sitting down eating a sandwich
35.jpg,17 1,A cat is lying on its back in a man's lap. a person laying on a couch with a cat
36.jpg,1,a standing woman with a remote control in hand a woman holding a nintendo wii game controller
37.jpg,1 6,A Los Angeles school bus parked in a parking lot. a yellow school bus parked in a parking lot
38.jpg,18,A dog stands next to a skateboard leaned up against a wall. a dog standing on top of a wooden floor next to a wall
39.jpg,1 10 15,A man holding his hands together while sitting on a bench. a man sitting on a bench in front of a fountain
40.jpg,1 4,Man on dirt bike with a redheaded woman in his lap. a woman riding on the back of a motorcycle
41.jpg,1 2,People playing tennis on the court on a sunny day two people playing tennis on a tennis court
42.jpg,1 6,A man standing next to a large red bus. a man standing next to a red and yellow fire truck
43.jpg,3 5 6 8 10,An airplane sitting in the middle of a city. a large jetliner sitting on top of an airport tarmac
44.jpg,1 5,People gather around as a man gets into an old-time airplane. a large group of people standing next to an airplane
45.jpg,1,A man leaning over as she inspects a woman's shoes. two people standing in a room with a door open
46.jpg,17,a close up of a cat laying on grass near a shoe a cat laying on top of a grass covered field
47.jpg,18,A brown and white chihuahua stands over a stuffed giraffe toy and a gray ribbon. a brown and white dog sitting next to a wooden bench
48.jpg,1,Three young women are trying to catch a frisbee. two girls are playing frisbee in a field
49.jpg,4,Rusted red motorcycle parked beside a red building. a motorcycle parked in front of a building
50.jpg,1,A young man riding a skateboard down a ramp. a man riding a skateboard up the side of a ramp
51.jpg,17 3,a cat is sitting on top of a vehicle a cat sitting on the hood of a car
52.jpg,3 4,A motorcycle parked in a parking spot in a lot. a motorcycle is parked on the side of the road
53.jpg,1 7,A train with googly eyes sitting near a platform. a yellow and blue train on a train track
54.jpg,19,A statue of a man on top of a horse. a statue of a man riding a horse
55.jpg,1,A sandy beach covered in white surfboards near the ocean. surfboards sitting on top of a beach
56.jpg,6,A white and red bus on side of street. a bus is parked on the side of the road
57.jpg,17 1,A woman that is with a cat in a mirror. a person taking a picture of a cat in a mirror
58.jpg,1 4,A person is riding a motorcycle down a country road. a person riding a motorcycle on a road
59.jpg,1,a dark room with three people on computers a man sitting in front of a laptop computer
60.jpg,1 3,People are gathering near bright orange air balloons. a large group of people flying kites in a field
61.jpg,1 4,A motorcycle is parked outside of a cafe. a motorcycle parked in front of a restaurant
62.jpg,1 3,A woman wearing a pink hat holding a black umbrella. a woman standing in the rain holding an umbrella
63.jpg,1,A woman cuts a large cake that has a lit candle. a woman cutting a cake with a knife
64.jpg,1,The kite surfer is spraying up water as he surfs. a person para sailing on a body of water
65.jpg,1 18,a family is sitting down at a table to have cake people sitting at a table with a cake
66.jpg,1 7,Many people are walking with suitcases in a train station. people are standing in a train station
67.jpg,16,three ducks next to the shore of a pond two ducks standing on top of a body of water
68.jpg,1 3 14,A black and white photograph of two men on side of the road. a man in a wheelchair pulling a cart
69.jpg,17,Cat Siamese looking sleeping on its side on a comforter. a cat laying on top of a bed
70.jpg,1,A man on a surfboard in the water. a man riding a surfboard on top of a wave
71.jpg,8 1 3,this is two men in cleats on the grass two young men playing a game of frisbee
72.jpg,9 18 1,A man on a boat holding his dog in his lap. a man holding a dog on top of a boat
73.jpg,1,A young man laying on the ground while wearing skis. a man is laying down on skis in the snow
74.jpg,1,A street at night with people walking around and buildings lit up. a crowded city street at night with neon signs
75.jpg,1 5,A jet sits on display in during an air show. a fighter jet sitting on top of an airport tarmac
76.jpg,1,a man from the neck down with a suit and tie on a man wearing a suit and tie
77.jpg,1 2,A little kid that is on a skateboard. a little girl riding a skateboard on a sidewalk
78.jpg,1,Two very big elephants standing together in an enclosure. two elephants standing next to each other on a dirt ground
79.jpg,1 11,people built a dog house shaped sand castle a fire hydrant with a person standing next to it
80.jpg,1,a girl is wearing a tie and a dress a woman holding a bottle of beer next to a man
81.jpg,1,a snowboarder in blue pants standing on his snowboard a person on a snowboard in the snow
82.jpg,17,A couple of cats laying on a couch in a room. a cat laying on top of a couch next to another cat
83.jpg,1,A person pulling apart a bunch of bananas in a box. a person holding a bunch of ripe bananas
84.jpg,1 3,MAN ON CELL PHONE STANDING ON STREET CORNER IN HOUSE SLIPPERS a man walking down a sidewalk with a backpack
85.jpg,1,a group of people walking next to a building with their suitcases people walking down a street with luggage
86.jpg,1,Two men pose while having a photograph taken. two men standing next to each other holding a frisbee
87.jpg,18,A dog sitting in a heart on a beach by ocean a dog standing on a beach next to a body of water
88.jpg,10 1 2 3,some bicycle riders are crossing a street bicyclists are crossing the street
89.jpg,5,a large air plane flying thru the sky with mountains in the background an airplane is taking off from the runway
90.jpg,17,An orange cat laying on a bed with a black comforter. a cat that is laying down on a bed
91.jpg,7,A train station near a snowy mountain belt. a train on a train track with mountains
92.jpg,1,A woman kneeling down to pet a black and white cow laying on the ground. a woman kneeling down next to a cow
93.jpg,8 1,A person standing on the snow next to a tree. a person riding skis down a snow covered slope
94.jpg,1 5,Many propeller plans and biplanes on display in a museum. a small propeller plane on display in a museum
95.jpg,1,A man performing a trick on a skateboard. a man doing a trick on a skateboard at a skate park
96.jpg,10 7,A cargo train that is traveling down some railroad tracks. a train traveling down train tracks next to a forest
97.jpg,17,A black and white cat laying on top of a colorful rug. a black and white cat laying on top of a rug
98.jpg,1 3,A sandwich and a glass of wine at an outside eatery. a sandwich sitting on a plate next to a glass of wine
99.jpg,1,A woman standing in a kitchen next to jars on a counter. a woman in a kitchen preparing food in a pot
100.jpg,16 9,An orange boat docked next to a platform. a boat is docked at a dock in the water
101.jpg,5,A model red plane hung from a ceiling. a red airplane is hanging from the ceiling of a building
102.jpg,1,A guy playing with a Frisbee outside during the daytime. a man throwing a frisbee in a park
103.jpg,1,People are standing in the sand on the beach flying a kite. people on a beach flying a kite
104.jpg,1,A mustachioed man in football pads and helmet poses aggressively with a baseball bat in his hand. a man in a suit holding a baseball bat
105.jpg,1,A person with an umbrella walking near the flowers. a person walking down a sidewalk with an umbrella
106.jpg,1 4 5,An airplane flying through the air over a motorcycle. a small airplane that is on top of a road
107.jpg,1,An elderly woman in a wheelchair opening  Christmas gifts a woman sitting in a chair holding a teddy bear
108.jpg,1,A group of men standing around a counter in a kitchen. a man standing next to a woman in a kitchen
109.jpg,1,A large building with a clock and people nearby. a clock tower in the middle of a city
110.jpg,1,a man is sitting on the grass eating some food and a drink a man sitting on a bench eating a sandwich
111.jpg,1 6,A person holding a tray full of orange carrots. a person in a costume standing in front of a truck
112.jpg,1,A man in swim shorts is riding a surf board. a man riding a wave on top of a surfboard
113.jpg,1 3 5,A commercial airplane with the door open and people walking in. an airplane sitting on the tarmac at an airport
114.jpg,1 2 3 4 6 8,A beautiful young woman riding on the back of a motorcycle. a woman riding a scooter on a city street
115.jpg,1 18 17,A big cat and a small cat sitting down with their backs turned two cats sitting on a carpet next to a television
116.jpg,17 19,An orange cat standing on the top of a brown horse. a brown and white cat standing next to a brown horse
117.jpg,1,a young guy walking in a forrest holding an object in his hand a young man throwing a frisbee in a wooded area
118.jpg,1 19,A man riding on the back of a horse. a person riding a horse on top of a field
119.jpg,1 5,People stand around an old airplane that is tilted on it's nose. an old airplane sitting on top of a field
120.jpg,1,A man flying a kite in a cloudy blue sky. a man flying a kite in a field
121.jpg,1 18,A baby with a Santa hat on and boots hold a pair of pliers. a little girl in a kitchen with a hat on
122.jpg,3 6,A wide panned shot of London at daytime. a city with tall buildings and a clock tower
123.jpg,1,A woman in the middle of swinging a tennis racket. a woman holding a tennis racquet on a tennis court
124.jpg,8 1 18,A person on a four-wheeler herding sheep in the snow. a herd of sheep walking across a snow covered field
125.jpg,1,Two adults and a child on skis in the snow. a person riding skis on top of a snow covered slope
126.jpg,1,A man is riding on a surfboard in the ocean. a man riding a wave on top of a surfboard
127.jpg,1,A silver and clear drink container with a black tray of fruit next to it. a blender sitting on top of a counter
128.jpg,1 9,A man is sitting in a boat on a river and drinking a bottle of water. a man sitting on a boat in the water
129.jpg,1,A person on a court with a tennis racket. a man swinging a tennis racquet on a tennis court
130.jpg,3 5,A large commercial airplane parked on a runway a large jetliner sitting on top of an airport tarmac
131.jpg,1,Several people around a table getting ready to cut into a cake. a family celebrating a birthday with a cake
132.jpg,1 15,A young man riding a skateboard up the side of a ramp. a man riding a skateboard up the side of a ramp
133.jpg,8 1,A herd of cows standing on a grass covered field. a herd of cattle standing on top of a lush green field
134.jpg,9 1,A couple of boats are on a a river people on a boat in the water
135.jpg,1,Two young children on a ramp with their skate boards. a man riding a skateboard down the side of a ramp
136.jpg,11,a close up of a yellow fire hydrant near a wall a yellow fire hydrant sitting in the grass
137.jpg,16,A lone bird flying past a chemical plants smoke stacks. a fire hydrant with smoke coming out of it
138.jpg,8 10 3,A stalk of broccoli sitting on the dashboard of a car. a car is driving down a street with a plant in the back seat
139.jpg,1 3 6 8 10,a blue red and white truck and some buildings a dump truck driving down a street next to tall buildings
140.jpg,1,A person about to swing a tennis racket a man holding a tennis racquet on a tennis court
141.jpg,1,The homemade pizza just came out of the oven. a pizza sitting on top of a stove top oven
142.jpg,1,A man holding a white surfboard standing in the ocean. a man holding a surfboard on top of a beach
143.jpg,7,A wagon rides on a track in an old town an old photo of a train station
144.jpg,1,a woman with her arms around a man holding a frisbee in a field a man and a woman holding a frisbee
145.jpg,1,A man's tattoo is seen under his dress shirt sleeve as he holds a rose. a man wearing a white shirt and a black tie
146.jpg,1,People who are dressed for skiing standing in the snow. people on skis standing in the snow
147.jpg,1 3,Two girls sit on the ground looking at their phones. two girls sitting on a sidewalk next to each other
148.jpg,18,a dog seems to be walking over frozen water a black and white dog walking across a body of water
149.jpg,1,A person swing a tennis racket at a tennis ball. a tennis player hitting a tennis ball with a racket
150.jpg,8 5,The plane on the runway is waiting to take off from the airport. a large jetliner sitting on top of an airport tarmac
151.jpg,18,A dog sitting on top of a toilet. a dog sitting on top of a toilet seat
152.jpg,2 6,A bicycle with a book bag chained to a bike stand. a bicycle parked next to a bus on a street
153.jpg,1 19,The people is  riding horses on the water. a number of people riding horses on a beach
154.jpg,1,A man riding a wave on top of a surfboard. a man riding a wave on top of a surfboard
155.jpg,1,Two men riding skis down a snow covered ski slope. two people riding skis down a snow covered slope
156.jpg,18,a close up of a dog laying on a chair a dog sitting on a chair next to a cake
157.jpg,1 18,A man kneeling down next to a brown dog. a man sitting next to a dog in front of a fire hydrant
158.jpg,3,An open brown refrigerator sitting on an asphalt street. an old refrigerator sitting on top of a sidewalk
159.jpg,7,A large long train on a steel track. a train on a train track near a building
160.jpg,1 3 6,A blue bus driving down a street next to cars. a city bus driving down a city street
161.jpg,1,A man standing next to his guitar case talking on his cell phone. a man on a cell phone standing next to a wall
162.jpg,1,People sit along tables in chairs with bags. a man sitting at a table in front of a group of people
163.jpg,1 6,A yellow and red bus traveling past a tall building. a yellow bus driving down a street next to tall buildings
164.jpg,1,A woman holding a tennis racket on a green tennis court. a person on a court with a tennis racket
165.jpg,1,there is a an riding a skateboard in a ramp a man riding a skateboard up the side of a ramp
166.jpg,16,A ZEBRA AND AND OSTRICH ARE NEXT TO EACH OTHER a zebra standing next to a giraffe on a dirt field
167.jpg,1,A massive crowd of people standing on top of a sandy beach. kites flying in the air over a beach
168.jpg,1,A naked child brushing teeth in a mirror. a young boy brushing his teeth in a bathroom mirror
169.jpg,15,A snow covered park bench in a snow covered park. a park bench sitting in the middle of a snow covered field
170.jpg,1,two female friends share a chocolate covered doughnut a woman and a man eating a doughnut together
171.jpg,1,A man that is in the air on a wall with a skateboard. a person on a skateboard doing a trick
172.jpg,1,A man standing on top of a tennis court holding  racquet. a man holding a tennis racquet on a tennis court
173.jpg,1,A room with a rug  table  and chairs  and other items a living room filled with furniture and a fire place
174.jpg,1,A group of young men holding skateboards standing in front of a store. a crowd of people standing next to each other on a sidewalk
175.jpg,1,A man sitting in a chair in a living room. a man sitting in a chair in a room
176.jpg,1 6,A man with a suitcase stands near a street. a woman carrying a suitcase on a city street
177.jpg,7,A white and yellow passenger train sits on its rail with a tower in the background. a train on a track near a building
178.jpg,1,some ribs sitting on a cutting board next to some apple slices and leaves a person cutting a piece of meat on a cutting board
179.jpg,1,A man sitting in front of a laptop computer. a man sitting at a desk using a laptop computer
180.jpg,1,A black and white picture of a man surfing  a person riding a wave on top of a surfboard
181.jpg,1 18,A man riding on the back of a dog sled. a man riding skis down a snow covered slope
182.jpg,16,A group of birds standing on top of a body of water looking for food. a flock of birds standing on top of a sandy beach
183.jpg,1 3 4 10 18,A man riding a red motorcycle down a street with a dog on back of it. a man riding on the back of a motorcycle with a dog
184.jpg,1 3,A car driving on a street in the town center. a car parked on the side of a street
185.jpg,17,A cat is staring at the viewer as it sits in a bathroom sink. a black cat laying in a bathroom sink
186.jpg,1 2 19 7,A horse drawn carriage driving down a street. a horse drawn carriage on a city street
187.jpg,17 1,A brindled cat laying near a woman's foot wearing a cat shoe. a cat laying on top of a person's feet
188.jpg,1,five girls jumping in the air two of them are holding ball bats three girls are jumping in the air to catch a frisbee
189.jpg,1,A group of people at a table with laptops. people sitting at a table with laptops
190.jpg,1,Two girls in an apartment play a lively video game. two people playing a video game in a living room
191.jpg,1,a man leaning over as he gets ready to serve a ball a man holding a tennis racquet on a tennis court
192.jpg,1,Man holding a wine glass with a small amount of red wine. a man holding a glass of wine in front of a group of people
193.jpg,17,A cat is looking over two pieces of luggage. a cat sitting on top of a pile of luggage
194.jpg,1,A person on a surfboard in the water. a man on a surfboard in the water
195.jpg,1,A woman is getting ready to hit a ball with a tennis racket. a female tennis player in action on the court
196.jpg,1,a close up of a person wearing a suit and tie a man in a suit and tie standing in front of a building
197.jpg,1 19,A man riding on the back of a brown horse next to a tree. a man riding on the back of a brown horse
198.jpg,1,Picture of a person during baseball in the air. a man in a baseball uniform throwing a ball
199.jpg,1,There are two Girls one of them is washing the dishes. a woman standing in a kitchen preparing food
200.jpg,8 1 3 6,A double-decker bus is on a street outside a building. a red double decker bus driving down a street
201.jpg,9 1,Umbrella covered lawn chairs line the beach of a beautiful blue ocean. a beach area with chairs  umbrellas  and beach chairs
202.jpg,1 15,Women hiding from the sun on a city bench a woman sitting on a bench under an umbrella
203.jpg,11,A fire hydrant on  concrete pad amid a rock bed. a red fire hydrant sitting on top of a sandy beach
204.jpg,1,small children learning tennis on a modifgied court people standing on top of a tennis court
205.jpg,16 8 3,The flock of birds is flying toward the domed building. a flock of seagulls flying over a beach
206.jpg,1 19,A MAN IS RIDING A HORSE ON THE GREEN a man riding on the back of a brown horse
207.jpg,1,A group of people stand on a beach on a partly cloudy day. people standing on top of a sandy beach
208.jpg,8 1 5,A large jetliner sitting on top of an airport tarmac. a large jetliner sitting on top of an airport tarmac
209.jpg,1,A skateboarder is in mid air during a jump. a man riding a skateboard up the side of a ramp
210.jpg,5,A large passenger jet flying through a blue sky. a large jetliner flying through a blue sky
211.jpg,1 3,A refrigerator between parked cars on a snowy city street a refrigerator in the middle of a parking lot
212.jpg,8 3,A white tower sitting in the middle of a brick planter. a clock tower in the middle of a garden
213.jpg,1 18 4,A dog that is standing on a motorcycle. a brown dog sitting on a motorcycle
214.jpg,17,A black and white cat sitting on top of  a pillow in a chair. a black and white cat sitting on top of a white couch
215.jpg,1,A skier jumping through the air and landing in the snow. a skier jumping over a snow covered slope
216.jpg,1,a man with a brown suit  sitting at a table with microphone  listening. a man in a suit standing in front of a microphone
217.jpg,8 1 4,A group of people on motor bikes on a road. a crowd of people riding motorcycles on a dirt road
218.jpg,1 18 15,A man in grey shirt with camera on bench next to two dogs. a man sitting on a bench next to a dog
219.jpg,1,A small child on skis next to a group of adults also on skis. a man and a child on skis in the snow
220.jpg,1,some people and a brown and white animal and grass a man standing next to a group of animals in a field
221.jpg,1 19,a large horse is attached to a carriage a large brown and white horse pulling a carriage
222.jpg,1,A baseball player swinging a baseball bat over home plate. a baseball player swinging a bat at a ball
223.jpg,1,a young boy in a soccer uniform kicking a ball a young boy kicking a soccer ball on a field
224.jpg,1 3,A woman sitting in front of a laptop computer. a woman is looking at her cell phone
225.jpg,1,Woman at an outdoor dining room table looking at food. a woman sitting at a table with a plate of food
226.jpg,1,Snowboarder on large snow covered slope in alpine area. a man riding a snowboard down a snow covered slope
227.jpg,17,A cat standing on top of a wooden table. a cat sitting on top of a table next to a bottle of water
228.jpg,1,A group of kids play frisbee in a muddy field while it rains people playing frisbee on a beach
229.jpg,1,Several people on surfboards waiting for a good wave. people on surfboards in the water
230.jpg,1,Two children lie in bed under a blanket. two young children laying on top of a bed
231.jpg,10 7,A cargo train traveling past large power poles. a train traveling down train tracks next to a forest
232.jpg,1,a person doing a trick on a surfboard in the ocean. a man riding a wave on top of a surfboard
233.jpg,1,A tennis player getting ready to serve the ball. a tennis player in action on the court
234.jpg,1,People are standing in a field with kites flying above. a grassy field with a kite flying in the sky
235.jpg,1,A woman is throwing an orange frisbee to a kid. a man holding a frisbee in front of a group of people
236.jpg,1,A woman standing on a tennis court holding a racquet. a female tennis player in action on the court
237.jpg,1,A boy on a snow board poses for the camera. a man riding a snowboard on top of a snow covered slope
238.jpg,1,A woman standing in front of a kitchen counter. a woman standing in a kitchen preparing food
239.jpg,1,A young girl stands on her bunk bed holding a paper. a young woman is standing on a bunk bed
240.jpg,17,A cat is sitting in a window next to a plant. a cat sitting on a window sill looking out
241.jpg,1,A couple of men playing a game of frisbee. people playing frisbee on a beach
242.jpg,9,Row boats moored at a pier on a lake surrounded by mountains. boats are docked in the water near a mountain
243.jpg,1 6,Two buses driving down a curvy street next to a building. two double decker buses driving down a street
244.jpg,1 3 6,There is a sightseeing bus on the side of the road. a red double decker bus driving down a street
245.jpg,1,A group of men standing next to each other dancing. young men standing around each other in a gymnasium
246.jpg,1 2,A reclining lounge chair mounted on a bicycle. a bench with a bicycle attached to it
247.jpg,1,A row of people in a field standing under umbrellas. a woman with an umbrella walks through a field
248.jpg,1 15,A man flying through the air riding a skateboard. a man riding a skateboard down the middle of a sidewalk
249.jpg,1 3 4 8 10,A view of a street closed off with police cars and construction workers. people are gathered around a fire hydrant
250.jpg,1,a group of people busy at work studying. a room filled with people sitting around a table
251.jpg,1,The group of people are playing video games together. people playing a video game in a living room
252.jpg,1,A man in blue shirt sitting on toilet next to sink and mirror. a man sitting on a toilet in a bathroom
253.jpg,1 7 15,A number of locomotive train engines and cars on multiple set of train tracks. a train on a train track near many other train tracks
254.jpg,1,Several pizzas on plates next to stacks of plates. a table topped with plates of pizza
255.jpg,1,a group of women are gathered in a living room people sitting around a living room
256.jpg,8 1 18 3,A dog hanging it's head out of a truck window. a dog standing in the back of a truck
257.jpg,1,A crowd of young children wearing baseball uniforms. young children playing baseball on a field
258.jpg,1,A man flying through the air while riding skis. a person jumping in the air on skis
259.jpg,1 3,A man flying a kite on top of a green field. a man flying a kite in a grassy field
260.jpg,8 1 3 15,A person sitting in front of many surfboards. a man sitting in the grass with a bunch of surfboards
261.jpg,1 4,Racing motorcycle's sitting on racks next to each other. motorcycles are parked next to each other
262.jpg,1,A man walking on a brick sidewalk with an umbrella. a man walking down a street holding a cell phone
263.jpg,1,Two tennis players are on a team in a match. two people playing tennis on a tennis court
264.jpg,1 2 3,A turquoise compact car with a bicycle on a rack on top of it. a blue car parked in a parking lot next to a building
265.jpg,1,A woman holding up a juicy peach with one bite taken a person holding a piece of fruit in their hand
266.jpg,1,A person is holding a bucket while another feeds a giraffe. a woman feeding a giraffe at a zoo
267.jpg,8 1,A group of young people playing a game of frisbee. young men playing a game of frisbee
268.jpg,1 3 13,Two urban traffic signs adorned with political graffiti. a red stop sign sitting on the side of a road
269.jpg,1,A boy is on a brown field with kites in the air. a man is flying a kite in a field
270.jpg,7,A blue and white train traveling down train tracks. a train traveling down train tracks next to a train station
271.jpg,1,And man and a woman standing together talking. a man and a woman standing next to each other
272.jpg,1,a baby laughs while sitting at a table a baby sitting in front of a plate of food
273.jpg,8 1 10 3,A busy side street filled with pedestrians walking by storefronts and dozens of cars riding down the road. a city street filled with lots of tall buildings
274.jpg,1,Two hands that are standing up holding something. a person holding a nintendo wii game controller
275.jpg,7,A couple of train engines riding down some tracks. a train on a train track with mountains
276.jpg,1,A woman sitting at a desk rubbing her hands together. a woman sitting at a desk typing on a computer
277.jpg,16,A bird flying into a side view mirror. a bird is flying through the windshield of a car
278.jpg,1,A baby in diaper laying with a brown teddy bear. a baby laying on a blanket next to a teddy bear
279.jpg,1 19,A horse standing with others tied to a tree with a sleigh behind them. a horse standing in the snow next to a tree
280.jpg,1,A group of men posing for a picture holding tennis racquets. tennis players posing for a picture
281.jpg,1,A man in a grassy field holding a kite. a man holding a kite in a grassy field
282.jpg,1,A leaps straight up into the air with a flying frisbee in front of him. a man jumping in the air to catch a frisbee
283.jpg,3 14,Old parking meter in front of a nail salon. a parking meter sitting on the side of a street
284.jpg,1,A man holding a tennis racquet on a tennis court. a man holding a tennis racquet on top of a tennis court
285.jpg,19 1 3,A group of cowboys riding their horses down the street. people riding on the backs of horses
286.jpg,1,A lone female surfer rides a small wave. a man riding a surfboard on top of a wave
287.jpg,1,a mascot with people on a baseball field a baseball game is being played in a stadium
288.jpg,1,A young child holding a baseball bat while wearing a thick jacket. a young child holding a baseball bat
289.jpg,1,A man standing in a living room filled with furniture. a living room filled with furniture and people
290.jpg,1,Two young boys walk through an apple orchard. two young men walking down a path in the woods
291.jpg,16,White bird perched on a window looking inside. a small bird perched on a window sill
292.jpg,2,a desk filled with assorted electronics and a phone a laptop computer sitting on top of a desk
293.jpg,5,Four jets breaking formation in a cloudy sky above power lines two airplanes flying in the sky with smoke coming out of them
294.jpg,1 3,A man in a white fedora holds a rainbow umbrella. a man holding a rainbow colored umbrella in front of a crowd
295.jpg,1,A woman flys a kite on a cloudy beach. a man and a woman flying a kite on a beach
296.jpg,1,A black and white picture of two women in the kitchen . a woman and a child in a kitchen
297.jpg,16,A colorful hummingbird flying next to a bird feeder. a hummingbird perched on top of a bird feeder
298.jpg,1 9,Three people walking onto a boat holding luggage. people standing next to a boat
299.jpg,1,A piece of pottery with ancient images is inside a display case. a vase on display in a glass case
300.jpg,1,A man holding a teddy bear and a sign next to a man holding a stuffed animal cow and a red phone. a man holding a stuffed bear next to a sign
301.jpg,1 17,A cat is laying on someone's lap while they sit on the couch. a cat laying on top of a couch
302.jpg,1 18,A brown dog biting at something from his owner. a dog with a frisbee in its mouth
303.jpg,1,A man riding a wave on a surfboard in the ocean. a man riding a wave on top of a surfboard
304.jpg,1 19,A person riding on the back of a horse next to a body of water. a man riding a horse next to a crowd of people
305.jpg,1,A goalie standing in front of a soccer goal. soccer players are playing soccer on a field
306.jpg,16,a bird that is standing on the ground a pigeon sitting on the side of a road
307.jpg,16,Two birds walking alone a wooden rail at a park. two ducks standing on top of a wooden bench
308.jpg,1,A bearded man in a red cap on a skateboard. a man riding a skateboard down a sidewalk
309.jpg,1,Man skateboarding on red pavement on his board. a man on a skateboard doing a trick
310.jpg,1,A woman riding a large elephant through a forest. a person riding on the back of an elephant
311.jpg,1,Two men standing on a hill in snow skis. a man and a woman standing on skis in the snow
312.jpg,17,a small cat is sitting on top of the luggage. a cat laying on top of a suitcase
313.jpg,1,an image of people looking at cactus in the rain people standing under umbrellas in the rain
314.jpg,8 1 3,A city street filled with lots of traffic. a city street filled with lots of traffic
315.jpg,1,there are three guys playing with a white frisbee young people playing frisbee in a park
316.jpg,16,a single bird standing on the beach by the water a white bird standing on top of a sandy beach
317.jpg,1,Two brown teddy bears sitting on floor next to a piano. two teddy bears sitting on a table in front of a christmas tree
318.jpg,1,a group of people in a field near many trees people playing frisbee in a park
319.jpg,1,A girl is on first base while another batter is getting ready to bat a young girl throwing a ball at a baseball game
320.jpg,8 1 10 3,there is a construction working fixing a street sign a construction worker is directing traffic on a city street
321.jpg,1,A person riding down the side of a snow covered slope. a person riding a snowboard down a snow covered slope
322.jpg,1,A woman standing at a table covered in desserts. a table filled with lots of different types of cakes
323.jpg,8 1 3 4,a black and white sign a street some cars and trees a sign on a pole on a city street
324.jpg,18,A dog catching a blue Frisbee on a field. a dog catching a frisbee in its mouth
325.jpg,1,A man and a woman at the beach in front of the ocean with small waves. a man and a woman playing frisbee on the beach
326.jpg,1,A woman and a man standing next to a table. a woman holding a wine glass next to a man
327.jpg,3,An elephant standing on a grass covered field an elephant standing in the middle of a field
328.jpg,4,a motor bike is parked outside on the gravel road a motorcycle parked on the side of a road
329.jpg,1,An office with a corner desk full of three desk top computers and paper. a living room with a computer desk and bookshelf
330.jpg,1,a couple of snowboarders are coming down a hill two snowboarders going down a snowy hill
331.jpg,17,A tail of a cat hanging on the outside of a suitcase. a black cat laying on top of a bed
332.jpg,1,A man riding a surfboard in the middle of the ocean  a man riding a wave on top of a surfboard
333.jpg,18,The dog is wearing a Santa Claus hat. a black and white dog wearing a christmas hat
334.jpg,1,Several suitcases  a pair of shoes and a hand bag in a hallway. a pile of luggage sitting on the floor in a room
335.jpg,1,A girl playing tennis while hitting a serve a woman swinging a tennis racquet at a tennis ball
